Book Id  ,Title                                                                                    ,Author                      ,Author l-f                     ,Additional Authors                                                       ,ISBN              ,ISBN13               ,My Rating ,Average Rating ,Publisher                            ,Binding               ,Number of Pages ,Year Published ,Original Publication Year ,Date Read ,Date Added ,Bookshelves            ,Bookshelves with positions   ,Exclusive Shelf        ,My Review ,Spoiler ,Private Notes ,Read Count ,Recommended For ,Recommended By ,Owned Copies ,Original Purchase Date ,Original Purchase Location ,Condition ,Condition Description ,BCID
34897    ,"The Dragon Reborn (The Wheel of Time, #3)"                                              ,Robert Jordan               ,"Jordan, Robert"               ,                                                                         ,"=""0765305119""" ,"=""9780765305114""" ,0         ,4.25           ,Tor Books                            ,Mass Market Paperback ,624             ,2002           ,1991                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#16) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
3263607  ,"The Fellowship of the Ring (The Lord of the Rings, #1)"                                 ,J.R.R. Tolkien              ,"Tolkien, J.R.R."              ,                                                                         ,"="""""           ,"=""9780345015339""" ,0         ,4.36           ,Ballantine Books                     ,Mass Market Paperback ,527             ,1973           ,1954                      ,          ,2020/12/26 ,to-read-fantasy-sci-fi ,to-read-fantasy-sci-fi (#19) ,to-read-fantasy-sci-fi ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
569429   ,"Mostly Harmless (Hitchhiker's Guide to the Galaxy, #5)"                                 ,Douglas Adams               ,"Adams, Douglas"               ,                                                                         ,"=""0345379330""" ,"=""9780345379337""" ,0         ,3.96           ,Del Rey                              ,Paperback             ,288             ,1993           ,1992                      ,          ,2020/12/30 ,to-read-classics       ,to-read-classics (#8)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
8694     ,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)"               ,Douglas Adams               ,"Adams, Douglas"               ,                                                                         ,"=""0345418905""" ,"=""9780345418906""" ,0         ,4.20           ,Del Rey                              ,Paperback             ,224             ,2005           ,1982                      ,          ,2020/12/30 ,to-read-classics       ,to-read-classics (#6)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
6091075  ,"So Long, and Thanks for All the Fish (The Hitchhiker's Guide to the Galaxy, #4)"        ,Douglas Adams               ,"Adams, Douglas"               ,                                                                         ,"="""""           ,"="""""              ,0         ,4.10           ,Del Rey                              ,Kindle Edition        ,225             ,2008           ,1984                      ,          ,2020/12/30 ,to-read-classics       ,to-read-classics (#7)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
8695     ,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)"       ,Douglas Adams               ,"Adams, Douglas"               ,                                                                         ,"="""""           ,"="""""              ,0         ,4.21           ,Del Rey                              ,Paperback             ,250             ,2005           ,1980                      ,          ,2020/12/30 ,to-read-classics       ,to-read-classics (#4)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
13       ,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)" ,Douglas Adams               ,"Adams, Douglas"               ,                                                                         ,"=""0345453743""" ,"=""9780345453747""" ,0         ,4.36           ,Del Rey Books                        ,Paperback             ,815             ,2002           ,1996                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#3)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
834333   ,20000 Leagues Under the Sea                                                              ,Jules Verne                 ,"Verne, Jules"                 ,                                                                         ,"=""0679602534""" ,"=""9780679602538""" ,0         ,3.89           ,Modern Library                       ,Hardcover             ,406             ,2001           ,1870                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#9)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
36402034 ,Do Androids Dream of Electric Sheep?                                                     ,Philip K. Dick              ,"Dick, Philip K."              ,                                                                         ,"="""""           ,"="""""              ,0         ,4.08           ,Ballantine Books                     ,Kindle Edition        ,258             ,2008           ,1968                      ,          ,2020/12/26 ,to-read-classics       ,to-read-classics (#2)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
70535    ,"2001: A Space Odyssey (Space Odyssey, #1)"                                              ,Arthur C. Clarke            ,"Clarke, Arthur C."            ,                                                                         ,"=""0451457994""" ,"=""9780451457998""" ,0         ,4.15           ,Roc                                  ,Paperback             ,297             ,2000           ,1968                      ,          ,2020/12/28 ,to-read-classics       ,to-read-classics (#1)        ,to-read-classics       ,          ,        ,              ,0          ,                ,               ,0            ,                       ,                           ,          ,                      ,
