Date       ,Name                                                                                ,Year ,Letterboxd URI
2020-12-31 ,Mamma Mia!                                                                          ,2008 ,https://boxd.it/1Tnq
2020-12-31 ,Thor: The Dark World                                                                ,2013 ,https://boxd.it/2DqA
2020-12-31 ,A Bug's Life                                                                        ,1998 ,https://boxd.it/1Yyy
2020-12-31 ,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,2006 ,https://boxd.it/2agQ
2020-12-31 ,Moneyball                                                                           ,2011 ,https://boxd.it/glS
2020-12-31 ,Back to the Future Part II                                                          ,1989 ,https://boxd.it/2aYI
2020-12-31 ,The Hunger Games: Catching Fire                                                     ,2013 ,https://boxd.it/3sAw
2020-12-31 ,The Hobbit: An Unexpected Journey                                                   ,2012 ,https://boxd.it/GZk
2020-12-31 ,Casino Royale                                                                       ,2006 ,https://boxd.it/1alk
2020-12-31 ,Skyfall                                                                             ,2012 ,https://boxd.it/17Fc
2020-12-31 ,Fantastic Beasts and Where to Find Them                                             ,2016 ,https://boxd.it/7FPC
2020-12-31 ,Indiana Jones and the Last Crusade                                                  ,1989 ,https://boxd.it/2baO
2020-12-31 ,Life of Pi                                                                          ,2012 ,https://boxd.it/37pC
2020-12-31 ,Spider-Man 3                                                                        ,2007 ,https://boxd.it/2a7Y
2020-12-31 ,Monty Python and the Holy Grail                                                     ,1975 ,https://boxd.it/29GI
2020-12-31 ,The Terminator                                                                      ,1984 ,https://boxd.it/2aQY
2020-12-31 ,Wreck-It Ralph                                                                      ,2012 ,https://boxd.it/2TTS
2020-12-31 ,Rocky                                                                               ,1976 ,https://boxd.it/28Uk
2020-12-31 ,Now You See Me                                                                      ,2013 ,https://boxd.it/2Bsu
2020-12-31 ,"O Brother, Where Art Thou?"                                                        ,2000 ,https://boxd.it/2b3I
2020-12-31 ,Chef                                                                                ,2014 ,https://boxd.it/6lCG
2020-12-31 ,A Beautiful Mind                                                                    ,2001 ,https://boxd.it/2amk
2020-12-31 ,Hunt for the Wilderpeople                                                           ,2016 ,https://boxd.it/cTgG
2020-12-31 ,The Rocky Horror Picture Show                                                       ,1975 ,https://boxd.it/1a3q
2020-12-31 ,Kung Fu Panda                                                                       ,2008 ,https://boxd.it/1Yws
2020-12-31 ,The Hobbit: The Desolation of Smaug                                                 ,2013 ,https://boxd.it/nmS
2020-12-31 ,Atonement                                                                           ,2007 ,https://boxd.it/24ui
2020-12-31 ,The Amazing Spider-Man                                                              ,2012 ,https://boxd.it/27PI
2020-12-31 ,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"                    ,2005 ,https://boxd.it/2ark
2020-12-31 ,Chernobyl                                                                           ,2019 ,https://boxd.it/mkbG
2020-12-31 ,Marie Antoinette                                                                    ,2006 ,https://boxd.it/27Wa
2020-12-31 ,Indiana Jones and the Temple of Doom                                                ,1984 ,https://boxd.it/2bb8
2020-12-31 ,Cast Away                                                                           ,2000 ,https://boxd.it/20i8
