 Frequency [Hz] - Resonance Curve	Voltage [V] - Resonance Curve	
2077.50	1.99	
2080.00	1.99	
2082.50	1.98	
2085.00	1.98	
2087.50	1.98	
2090.00	1.98	
2092.50	1.98	
2095.00	1.98	
2097.50	1.98	
2100.00	1.98	
2102.50	1.98	
2105.00	1.98	
2107.50	1.98	
2110.00	1.98	
2112.50	1.98	
2115.00	1.98	
2117.50	1.98	
2120.00	1.98	
2122.50	1.98	
2125.00	1.98	
2127.50	1.97	
2130.00	1.97	
2132.50	1.97	
2135.00	1.97	
2137.50	1.97	
2140.00	1.97	
2142.50	1.97	
2145.00	1.97	
2147.50	1.97	
2150.00	1.97	
2152.50	1.97	
2155.00	1.97	
2157.50	1.97	
2160.00	1.97	
2162.50	1.97	
2165.00	1.96	
2167.50	1.96	
2170.00	1.96	
2172.50	1.96	
2175.00	1.96	
2177.50	1.96	
2180.00	1.96	
2182.50	1.96	
2185.00	1.96	
2187.50	1.96	
2190.00	1.96	
2192.50	1.96	
2195.00	1.96	
2197.50	1.95	
2200.00	1.95	
2202.50	1.95	
2205.00	1.95	
2207.50	1.95	
2210.00	1.95	
2212.50	1.95	
2215.00	1.95	
2217.50	1.95	
2220.00	1.95	
2222.50	1.95	
2225.00	1.95	
2227.50	1.95	
2230.00	1.94	
2232.50	1.94	
2235.00	1.94	
2237.50	1.94	
2240.00	1.94	
2242.50	1.94	
2245.00	1.94	
2247.50	1.94	
2250.00	1.94	
2252.50	1.94	
2255.00	1.94	
2257.50	1.93	
2260.00	1.93	
2262.50	1.93	
2265.00	1.93	
2267.50	1.93	
2270.00	1.93	
2272.50	1.93	
2275.00	1.93	
2277.50	1.93	
2280.00	1.93	
2282.50	1.93	
2285.00	1.92	
2287.50	1.92	
2290.00	1.92	
2292.50	1.92	
2295.00	1.92	
2297.50	1.92	
2300.00	1.92	
2302.50	1.92	
2305.00	1.92	
2307.50	1.92	
2310.00	1.91	
2312.50	1.91	
2315.00	1.91	
2317.50	1.91	
2320.00	1.91	
2322.50	1.91	
2325.00	1.91	
2327.50	1.91	
2330.00	1.91	
2332.50	1.91	
2335.00	1.90	
2337.50	1.90	
2340.00	1.90	
2342.50	1.90	
2345.00	1.90	
